Valor,Categoria
Jugar a las 20 preguntas,En Casa
Seguir un tutorial de dibujo de youtube,DIY
Crear un fuerte con mantas,En Casa
Esbozar un retrato del otro,DIY
Spa en casa,En Casa
Pizza a Domicilio & Ver Peliculas,En Casa
Fondue chocolate,Cocina
Hacer nubes de azucar,Cocina
Proyecto en Casa juntos,DIY
Picnic bajo las estrellas,Naturaleza
Competicion de decoración de tartas,Cocina
Jugar a Geoguesser,En Casa
Roadtrip de fin de semana,Especial
Señala un sitio en un mapa y cocina algo tradicional de ese sitio,Cocina
Skydiving,Activo
Montar a caballo,Activo
Escribir cartas al otro,En Casa
Explorar la ciudad mas cercana,Fuera de Casa
Ir a un lago,Naturaleza
Peliculas romanticas,En Casa
Jugar Geocaching,Fuera de Casa
Ir a ver las estrellas al campo,Fuera de Casa
Pintar Piedras,DIY
Puenting,Activo
Paintball,Activo
Ruta en Quad,Activo
Probar algo nuevo,Especial
Ir a un auto-servicio,En Casa
Ruta en coche,Fuera de Casa
Ir a un parque nuevo,Naturaleza
Clase creativa,Planificada
Ir a por un Food Truck,Cocina
Smoothies,Cocina
Ejercicio en el gimnasio,Activo
Hacer Donuts en casa,Cocina
Turismo en tu misma ciudad,Fuera de Casa
Cita de voluntariado,Planificada
Ir a un restaurante y comprar solamente postres para llevar,Fuera de Casa
Recrear la primera cita,Especial
Hacer un Tour de comida,Fuera de Casa
Ir a un parque de atracciones,Fuera de Casa
Jugar al Bingo,Fuera de Casa
Ir a una nueva pasteleria,Fuera de Casa
Ir a un arcade,Fuera de Casa
Cita de Cafe & Conversacion,Fuera de Casa
Karaoke,Fuera de Casa
Cena con vistas,Especial
Atardecer en la playa,Naturaleza
Amanecer en la playa,Naturaleza
Ir a coger flores,Naturaleza
Hacer plastilina casera,DIY
Ir a un parque acuatico,Fuera de Casa
Barbacoa,Cocina
Ir a un safari / Zoo abierto,Fuera de Casa
Ir a ver una cascada ,Naturaleza
Visitar un lago,Naturaleza
Volar cometas,Activo
Ir a pescar,Activo
Hacer Gelatina,Cocina
Ir a un aquarium,Fuera de Casa
Ir a una libreria,Fuera de Casa
Hacer Botanica,DIY
Excursion de un dia entero,Especial
Festival,Planificada
Glovo aerostaico,Especial
Observatorio,Fuera de Casa
Tandem,Activo
Cita doble,Fuera de Casa
Hacer colchas,DIY
Escalar Rocas,Activo
Noche de trivia,En Casa
Scrapbook,DIY
Ir a un viñedo,Naturaleza
Ir a ver ballenas,Naturaleza
Bodega de vinos,Especial
Rafting,Activo
Tirolina,Activo
Ikea,Fuera de Casa
Comida rapida,Cocina
Juego de luces,Fuera de Casa
Skincare,En Casa
Libros para adultos de colorear,DIY
Decorar vuestras propias  tazas,DIY
Pintar Cara/Cuerpos,DIY
Competicion de cocina con 5 ingredientes,Cocina
Una cena de 5 platos,Especial
Voluntariado de paseo a perros,Activo
Mani Pedi,En Casa
Mercado de antiguedades,Planificada
Cocinar desayuno especial,Cocina
Cocinar tortitas,Cocina
Competición de horneado,Cocina
Maraton de peliculas,En Casa
Deborar una pelicula,En Casa
Hornear una tarta,Cocina
Cena con velas,Cocina
Ir a una  cafeteria con animales,Fuera de Casa
Entrenar para una carrera juntos,Activo
Madrugar y ver el amanecer,Naturaleza
PaddleSurf,Activo
Paddle Surf para ver el amanecer,Activo
Recoger frutas,Fuera de Casa
Canoas,Fuera de Casa
Ir a una degustación de comida,Cocina
Hacer una clase de ceramica,Planificada
Comer al aire libre,Naturaleza
Clases de cocina,Cocina
Ir a un Spa,Especial
Monopoly,En Casa
Quesadillas,Cocina
Tarta red-velvet,Cocina
Tiendas de segunda mano,En Casa
Dar un paseo por la costa,Naturaleza
Ir a nadar,Activo
Tapeo,Fuera de Casa
Cocina vegana/vegetariana,Cocina
Parque de vida silvestre,Naturaleza
Hacer queso,Cocina
Sesion de fotos,En Casa
Jugar al uno,En Casa
Clase de Kickboxing,Activo
Jenga,En Casa
Cupcakes,Cocina
Juego de cartas,En Casa
Sushi en casa,Cocina
Banda musical local,Fuera de Casa
Plantar un arbol,DIY
Deborar una serie,En Casa
Ir a comprar ropa,Fuera de Casa
Cena sorpresa,Fuera de Casa
Club de comedia,Fuera de Casa
Nadar con delfines,Naturaleza
Nadar con tiburones,Naturaleza
Snorckel,Activo
Ornitologia,Naturaleza
Jardin botanico,Naturaleza
Planetarium,Fuera de Casa
Billar,Fuera de Casa
Noche de videojuegos,En Casa
Frisbie,Activo
Golf,Activo
Ver videos / fotos antiguas,En Casa
Pelea de pistolas Nerf,En Casa
Ir a coger uvas juntos,Naturaleza
Planificar un viaje,Especial
Peliculas malas,En Casa
Probar nueva comida,Cocina
Una noche lujosa en un hotel,Especial
Photobooth,Fuera de Casa
Bailar salsa,Activo
Elegir el outfit del otro,Fuera de Casa
Degustación de vino,Fuera de Casa
Usar el truco Marie Kondo en casa,En Casa
Carrera de obstaculos en casa,En Casa
Cocinar galletas,Cocina
Una noche de fiesta,Fuera de Casa
Holy run,Activo
Competicion de Super Smash Bros,En Casa
Squash,Activo
Cocinar Chino,Cocina
Parque de atracciones,Fuera de Casa
Hornear galletas,Cocina
Pasear por la playa,Naturaleza
Cafeteria,Fuera de Casa
Subir a una azotea,Fuera de Casa
Jugar al futbol,Activo
Autocine,Fuera de Casa
Fuerte de mantas + pelicula,En Casa
Ruta en coche nocturna,Fuera de Casa
Dia de piscina,Fuera de Casa
Trineo,Activo
Desayuno,Cocina
Guerra de pintura para y hacer camisetas tye dye,DIY
Hacer velas,DIY
Piragüismo,Activo
Ruta en globo aerostatico,Planificada
Cita clasica,Fuera de Casa
Hacer una casa de Gengibre,Cocina
Muñecos de gengibre,Cocina
Maraton de peliculas de Disney,En Casa
Patinaje sobre Hielo,Activo
Ruta de patinaje,Activo
Peliculas de Halloween,En Casa
Parapente,Activo
Tunel de viento,Activo
Ir a un bar de azotea,Fuera de Casa
Visita una exibición interactiva,Planificada
Ir a algun mercado local,Fuera de Casa
Probar un nuevo restaurante,Fuera de Casa
Alquilar bicicletas,Activo
Pasar el dia en un lago,Naturaleza
Coger flores silvestres,Naturaleza
Hacer sandboarding,Naturaleza
Explorar una nueva ciudad,Especial
Ir al casino,Fuera de Casa
Crear una barca juntos y usarla en un pantano o lago,Naturaleza
Ir a pescar y competir por quien coge el pez mas grande,Naturaleza
Hacer un libro de fotografias de citas,DIY
Hacer joyeria,DIY
Buscar piscinas naturales,Naturaleza
Crear un columpio de cuerda,DIY
Competición de crear castillos de arena,Naturaleza
Ruta en helicoptero,Especial
Ir a un restaurante lujoso,Especial
Comida de 3 platos en diferentes restaurantes de autoservicio,Fuera de Casa
Cita de coches,Fuera de Casa
Visitar un laberinto,Activo
Hacer una barbacoa,Cocina
Alquilar motos de agua,Especial
Alquilar un barco,Naturaleza
Recoleccion de frutas,Naturaleza
Ir a un Camping,Fuera de Casa
Alquilar un pedalo,Naturaleza
Hacer llaveros,DIY
Cena de 3 platos,Cocina
Noche de juegos de mesa,En Casa
Hacer una hoguera [Solo si es seguro],Naturaleza
Noche de Fondue,Cocina
Ir a comprar plantas,Fuera de Casa
Cocinar comida navideña,Cocina
Crear decoración navideña,DIY
Hacer coctails,Cocina
Noche artistica,DIY
Te nocturno,Cocina
Ver anime,En Casa
Baño de burbujas,En Casa
Cena a la luz de las velas,Cocina
Desayuno fuera de casa,Fuera de Casa
Cita doble,Especial
Escape Room,Planificada
Deportes extremos,Activo
Con un mapa de la ciudad elegir al azar un punto para visitar,Fuera de Casa
Crear una gincana para el otro,Planificada
Videojuegos,En Casa
Cocinar gofres juntos,Cocina
Aprender a bailar vals,Activo
Crear jarrones,DIY
Ruta en quads,Naturaleza
Cita silenciosa,Especial
Noche de Peliculas,En Casa
Hacerpunto de cruz,DIY
Cocinar Kebab en casa,Cocina
Dia vago en casa,En Casa
Escribir cartas en casa,DIY
Recrear la primera cita,Especial
Compras de segunda mano,Fuera de Casa
Ceramica,DIY
Noche de pizzas en casa,Cocina
Competicion de juegos de nintendo,En Casa
Redescubrir vuestra ciudad,Fuera de Casa
Fingir estar en master chef y hacer una competición de cocina,En Casa
Ir a ver casas aunque no tengais ganas de comprar,Fuera de Casa
Recrear platos de peliculas,Cocina
Ir a crea tu propio oso de peluche,Fuera de Casa
Ir al zoo,Fuera de Casa
Aprender nueva habilidad juntos,En Casa
Planificar un viaje futuro,En Casa
Hacer Tik-toks,Activo
Reorganizar una habitación,En Casa
Try not to laugh challenge,En Casa
Karaoke,Fuera de Casa
Hacer smoothies,Cocina
Hacer tests de personalidad,En Casa
Hacer ejercicio,Activo
Guerra de Nerfs,Activo
Montaña rusa,Fuera de Casa
Parque de trampolines,Fuera de Casa
Montar a caballo,Naturaleza
Ir a correr,Activo
Carrera de obstaculos,Activo
Jugar al baloncesto,Activo
Tumbarse en hamacas,Naturaleza
Probar nuevos aperitivos,Cocina
Hacer granizados en casa,Cocina
Hacer una gincana,Fuera de Casa
Ir al bingo,Fuera de Casa
"Jugar a ""would you rather""",En Casa
"Jugar a ""Trolley Problem, INC""",En Casa
Jugar a Prueba o Verdad,En Casa
Jugar a Twister,Activo
Hacer y soltar lamparas flotantes,DIY
Voluntariado Juntos,DIY
Ir a un menu degustación,Especial
Noche de Trivial,En Casa
Volar cometas,Activo
Ir a una fabrica de chocolate,Fuera de Casa
Festival de musica,Fuera de Casa
Decorar ceramica,DIY
Cocinar cheesecake,Cocina
Ver videos de teorias de la conspiración,En Casa
Tallar calabazas,DIY
Vide-greniers,Fuera de Casa
Noche de busqueda de OVNIS,Fuera de Casa
Noche de aprender sobre el firmamento y sus constelaciones,Naturaleza
Hacer una lista de cosas que hacer antes de morir,En Casa
Jugar al Monopoly,En Casa
Guerra de glovos de agua,Activo
Pintar macetas,DIY
Recoger y aplastar flores silvestres para preservarlas,Naturaleza
Hacer una Totebag,DIY
Hacer una playlist nueva,En Casa
Competición de obstaculos,Activo
Explorar sitios nuevos con el cohe y dados: Par = Giro derecha Inpar= Giro Izquierda Mismo numero = Seguir de Frente,Fuera de Casa
Jugar al Escondite,Activo
Jugar a no salir en las fotos,Activo
Elegir comida para una cita a ciegas en el supermercado,Cocina
Hacer una manta juntando las dos telas preferidas,DIY
Teñir ropa en una guera de pintura,DIY
"""Piedra papel o tijera"" elegir la cita",En Casa
Ir al desierto mas cercano,Naturaleza
Ir a un campo de girasoles,Naturaleza
Elegir flores para hacer un ramo ,Fuera de Casa
Ir a nadar con tiburones / delfines,Naturaleza
Mirar a la luna y los planetas con un telescopio,Naturaleza
Ver el amanecer en la playa,Naturaleza
Bailar bajo la lluvia,Activo
Cocinar Cake pops,Cocina
Hacerse la manicura,Fuera de Casa
Ir a starbucks,Fuera de Casa
Yoga con cachorros,Activo
Salir a desayunar,Fuera de Casa
Hacerse caricaturas,Fuera de Casa
Visitar mercados tradicionales,Fuera de Casa
Hacer un Sandwich de helado,Cocina
Comprar outfits a juego para hacer ejercicio,Fuera de Casa
Entrenar juntos,Activo
Ir al zoo,Fuera de Casa
Chipotle,Cocina
Scotters electricas,Fuera de Casa
Hacer un fuego y calentar nuvecitas,Naturaleza
Limpiar el coche,Fuera de Casa
Prueba de sabor ciego,En Casa
Crea tu propio oso,Fuera de Casa
Picnic en casa,En Casa
Ir a un parque a alimentar a los patos,Naturaleza
Probar una comida nueva,Fuera de Casa
Probar una bebida nueva,Fuera de Casa
Hacer equilibrio en cuerda,Activo
Escribir cartas para abrir en el aniversario,Especial
Concurso de adivinar la cancion con la letra,En Casa
Noche de bingo,Fuera de Casa
Probar comida de astronauta,Cocina
Desayunar tortitas,Cocina
Linternas voladoras,Especial
Hacer pretzels,Cocina
Cocinar Hibachi,Cocina
Ir de fiesta juntos,Fuera de Casa
Hacer batidos,Cocina
Hacer slime,DIY
Bolos de la wii,Activo
Dibujar al otro a ciegas,DIY
Tallar calabazas,DIY
Ver peliculas navideñas,En Casa
Ver pelicula de halloween,En Casa
Pelicula de miedo,En Casa
Hacer burbujas congeladas,DIY
Comprar cosas del gusto del otro sin comunicarse,Fuera de Casa
Resolver casos de crimenes,En Casa
Clase de hacer pasta,Fuera de Casa
Cocinar pasta desde la masa,Cocina
Hacer jarrones de arcilla,DIY
Hacer pendientes de arcilla,DIY
Hacer crochet juntos,DIY
Chess Puzzle,En Casa
Hacer un anillo juntos,Planificada
Autocamping en las montañas,Naturaleza
Buscar y ir a una playa escondida,Naturaleza
Plantar un arbol,Naturaleza
Visitar un castillo,Fuera de Casa
Hacer jiujitsu juntos,Activo
Crear maquetas,DIY
Picnic en la playa,Naturaleza
Desafio Mario kart a ciegas,En Casa
Ir a un santurio de animales,Naturaleza
Voluntariado en un santuario de animales,Naturaleza
